task_id,scenario_id,risk_focus,task_type,company_name,condition,trace_id,passed,latency_ms,cost_usd,failure_mode,prompt_tokens,completion_tokens,total_tokens,llm_calls
tb_seed_0007,scn_condescending_competitor_gap,overclaimed_signal_or_maturity_claim,outreach_judgment,QuantaNest,day1_baseline,,,,,,,,,
tb_seed_0007,scn_condescending_competitor_gap,overclaimed_signal_or_maturity_claim,outreach_judgment,QuantaNest,full_method,,,,,,,,,
tb_seed_0008,scn_ai0_segment4_pitch,overclaimed_signal_or_maturity_claim,enrichment_judgment,LedgerBrook,day1_baseline,,,,,,,,,
tb_seed_0008,scn_ai0_segment4_pitch,overclaimed_signal_or_maturity_claim,enrichment_judgment,LedgerBrook,full_method,,,,,,,,,
tb_seed_0014,scn_reengagement_no_new_info,generic_outreach_ungrounded,outreach_judgment,North Pier Data,day1_baseline,,,,,,,,,
tb_seed_0014,scn_reengagement_no_new_info,generic_outreach_ungrounded,outreach_judgment,North Pier Data,full_method,,,,,,,,,
tb_seed_0024,scn_phased_capacity_safe,unsupported_pricing_or_scope_claim,outreach_judgment,NovaQuill,day1_baseline,,,,,,,,,
tb_seed_0024,scn_phased_capacity_safe,unsupported_pricing_or_scope_claim,outreach_judgment,NovaQuill,full_method,,,,,,,,,
tb_seed_0032,scn_private_ai_assumption,overclaimed_signal_or_maturity_claim,enrichment_judgment,QuietLedger,day1_baseline,,,,,,,,,
tb_seed_0032,scn_private_ai_assumption,overclaimed_signal_or_maturity_claim,enrichment_judgment,QuietLedger,full_method,,,,,,,,,
tb_seed_0034,scn_dual_exec_transition_overclaim,overclaimed_signal_or_maturity_claim,enrichment_judgment,PulseFrame,day1_baseline,,,,,,,,,
tb_seed_0034,scn_dual_exec_transition_overclaim,overclaimed_signal_or_maturity_claim,enrichment_judgment,PulseFrame,full_method,,,,,,,,,
tb_seed_0036,scn_service_menu_generic_fail,generic_outreach_ungrounded,outreach_judgment,BlueSignal,day1_baseline,,,,,,,,,
tb_seed_0036,scn_service_menu_generic_fail,generic_outreach_ungrounded,outreach_judgment,BlueSignal,full_method,,,,,,,,,
tb_seed_0039,scn_low_evidence_peer_mention_review,generic_outreach_ungrounded,outreach_judgment,CinderFlow,day1_baseline,,,,,,,,,
tb_seed_0039,scn_low_evidence_peer_mention_review,generic_outreach_ungrounded,outreach_judgment,CinderFlow,full_method,,,,,,,,,
tb_seed_0045,scn_soft_defer_crm_pass,wrong_crm_hubspot_calendar_next_action,crm_decision_judgment,PrismRiver,day1_baseline,,,,,,,,,
tb_seed_0045,scn_soft_defer_crm_pass,wrong_crm_hubspot_calendar_next_action,crm_decision_judgment,PrismRiver,full_method,,,,,,,,,
tb_seed_0057,scn_small_poc_reply_pass,reply_escalation_or_objection_failure,reply_judgment,MosaicDB,day1_baseline,,,,,,,,,
tb_seed_0057,scn_small_poc_reply_pass,reply_escalation_or_objection_failure,reply_judgment,MosaicDB,full_method,,,,,,,,,
